x,y,yaw,velocity
-0.6386001,-0.0818333,-1.4997038,6.8998701
-0.539052,-0.0736486,-1.4779768,6.9199704
-0.4396982,-0.0633492,-1.4571799,6.9455945
-0.3405723,-0.0510311,-1.4372962,6.9764198
-0.2417021,-0.0367885,-1.4183056,7.0121366
-0.143111,-0.0207138,-1.400186,7.0524463
-0.0448179,-0.0028969,-1.3829139,7.0970663
0.0531622,0.0165747,-1.3664653,7.1457318
0.1508181,0.0376162,-1.3508159,7.1981972
0.2481345,0.0601437,-1.3359425,7.2542355
0.3451076,0.0840779,-1.3218207,7.3136383
0.4417454,0.1093445,-1.3084259,7.3762106
0.538048,0.1358699,-1.2957357,7.4417883
0.6340177,0.1635829,-1.2837275,7.510205
0.7296591,0.1924149,-1.2723834,7.5799056
0.824976,0.2222991,-1.26168,7.5650703
0.9199852,0.2531735,-1.251612,7.484345
1.0146991,0.2849874,-1.2419144,7.3968699
1.1090889,0.3177078,-1.2322926,7.3048812
1.2031276,0.3513222,-1.2227176,7.2100939
1.2968737,0.3858464,-1.2131394,7.1115713
1.3903246,0.4212875,-1.2034544,7.0103549
1.483427,0.4576395,-1.1936092,6.9064947
1.5761571,0.4949149,-1.1835184,6.8004281
1.6684875,0.5331328,-1.1731102,6.692642
1.7603848,0.5723171,-1.1623147,6.5835452
1.8518034,0.6124926,-1.1510828,6.4731487
1.9426767,0.6536768,-1.1394089,6.3610773
2.0332274,0.696019,-1.1273359,6.2470185
2.1234346,0.7395467,-1.1151202,6.1299498
2.2129181,0.7840606,-1.1034136,6.0070296
2.3014613,0.8292749,-1.0953943,5.8734442
2.3906622,0.875082,-1.0996273,5.7213118
2.4796605,0.9197638,-1.1121083,5.586476
2.5694473,0.9633753,-1.1242854,5.4492423
2.6589845,1.006461,-1.1131587,5.3969257
2.7478938,1.0523216,-1.0752791,5.3832305
2.8344363,1.1013231,-1.0359329,5.3696857
2.9195645,1.1539575,-0.9984129,5.3546405
3.0027496,1.209819,-0.9594745,5.3543062
3.0834885,1.2689148,-0.9191647,5.353972
3.1617854,1.3309508,-0.8829662,5.3732547
3.2378171,1.3955839,-0.8500067,5.4106576
3.311741,1.4625756,-0.8194378,5.4601769
3.3836708,1.5317554,-0.7905701,5.5171763
3.4536683,1.6029917,-0.7628336,5.4846413
3.521744,1.6761757,-0.7357452,5.4155534
3.5878632,1.7512119,-0.7088811,5.3391675
3.6519515,1.828015,-0.6818557,5.2571808
3.7138272,1.9064122,-0.6543397,5.1711305
3.773488,1.9865054,-0.6259263,5.0831223
3.8308366,2.0683497,-0.5962226,4.9958189
3.885663,2.1519067,-0.5648529,4.9107995
